"count","key1","key2","key3","key4"
"5359","Patzig, Gotthilf (#138715122)","Vorträge über physische Geographie des Freiherrn Alexander von Humbold","1828","Wissenschaft::Naturwissenschaft"
"5259","Parthey, Gustav (#104366508)","Vorlesungen über physikalische Geographie","1828","Wissenschaft::Naturwissenschaft"
"4908","N. N.,","Die physikalische Geographie von Herrn Alexander v. Humboldt, vorgetragen im Semestre 1827/28","1828","Wissenschaft::Naturwissenschaft"
"4756","N. N.,","Physikalische Geographie von Heinr. Alex. Freiherr v. Humboldt","1828","Wissenschaft::Naturwissenschaft"
"4073","N. N.,","Alexander von Humboldts Vorlesungen über phÿsikalische Geographie nebst Prolegomenen über die Stellung der Gestirne","1827","Wissenschaft::Naturwissenschaft"
"2650","Libelt, Karol (#120684470)","Wykłady Humboldta na uniwersytecie Berlińskim","1828","Wissenschaft::Naturwissenschaft"
"1733","Riess, Peter Theophil (#116545259)","Physikalische Geographie nach Al. v. Humboldt","1828","Wissenschaft::Naturwissenschaft"
"1629","Hufeland, Otto","Vorlesungen über physicalische Geographie","1829","Wissenschaft::Naturwissenschaft"
"1506","Kohlrausch, Henriette (#1072699168)","Physikalische Geographie","1828","Wissenschaft::Naturwissenschaft"
"222","Willisen, Friedrich Adolf von (#117394572)","Humbolds Vorlesungen","1828","Wissenschaft::Naturwissenschaft"
